Title,Cast,Director,Genre,language,Plot_Summary,imdb_URL
Rogue One: A Star Wars Story,"[u'Felicity Jones', u'Mads Mikkelsen', u'Forest Whitaker', u'Alan Tudyk', u'Ben Mendelsohn']",Gareth Edwards,"[u'Action', u'Adventure', u'Sci-Fi']",[u'English'],"[u'Jyn Erso, a Rebellion soldier and criminal, is about to experience her biggest challenge yet when Mon Mothma sets her out on a mission to steal the plans for the Death Star. With help from the Rebels, a master swordsman, and non-allied forces, Jyn will be in for something bigger than she thinks.', u'The Rebellion makes a risky move to steal the plans to the Death Star, setting up the epic saga to follow.']",http://akas.imdb.com/title/tt3748528/
Doctor Strange,"[u'Benedict Cumberbatch', u'Chiwetel Ejiofor', u'Rachel McAdams', u'Benedict Wong', u'Mads Mikkelsen']",Scott Derrickson,"[u'Action', u'Adventure', u'Fantasy', u'Sci-Fi']",[u'English'],"[u'Marvel\'s ""Doctor Strange"" follows the story of the talented neurosurgeon Doctor Stephen Strange who, after a tragic car accident, must put ego aside and learn the secrets of a hidden world of mysticism and alternate dimensions. Based in New York City\'s Greenwich Village, Doctor Strange must act as an intermediary between the real world and what lies beyond, utilising a vast array of metaphysical abilities and artifacts to protect the Marvel Cinematic Universe.', u'After a horrible car accident, brilliant neurosurgeon Stephen Strange must find a way and a cure to healing his hands. His quest brings him to Kamar-Taj in Nepal where he studies under the Ancient One, who teaches him the ways of magic and alternate realities. With new skills of interdimensional travel and spells, Strange soon discovers that he must protect the world from a deadly enemy who is out to destroy it.', u'A former neurosurgeon embarks on a journey of healing only to be drawn into the world of the mystic arts.']",http://akas.imdb.com/title/tt1211837/
Fantastic Beasts and Where to Find Them,"[u'Eddie Redmayne', u'Sam Redford', u'Scott Goldman', u'Tim Bentinck', u'Tom Clarke Hill']",David Yates,"[u'Adventure', u'Family', u'Fantasy']",[u'English'],"[u'Holding a mysterious leather suitcase in his hand, Newt Scamander, a young activist wizard from England, visits New York while he is on his way to Arizona. Inside his expanding suitcase hides a wide array of diverse, magical creatures that exist among us, ranging from tiny, twig-like ones, to majestic and humongous ones. It is the middle of the 20s and times are troubled since the already fragile equilibrium of secrecy between the unseen world of wizards and the ordinary or ""No-Maj"" people that the MACUSA Congress struggles to maintain, is at risk of being unsettled. In the meantime, the voices against wizardry keep growing with daily protests led by Mary Lou Barebone and fuelled by the increasing disasters ascribed to a dark wizard, Gellert Grindelwald. At the same time, by a twist of fate, Newt\'s precious suitcase will be switched with the identical one of an aspiring No-Maj baker, Jacob Kowalski, while demoted Auror, Tina Goldstein, arrests Newt for being an unregistered wizard. To make matters worse, with the suitcase in the wrong hands, several creatures manage to escape to unknown directions. Before long, this situation will catch Senior Auror Percival Graves\' attention who will target both Tina and Newt amid panic caused by an invisible, devastating and utterly unpredictable menace that still wreaks havoc in New York\'s 5th Avenue. Is there a hidden agenda behind Graves\' intentions and ultimately, what will happen to the remaining magical creatures still loose in the streets?', u""The year is 1926 and Newt Scamander has just completed a global excursion to find and document an extraordinary array of magical creatures. Arriving in New York for a brief stopover, he might have come and gone without incident...were it not for a No-Maj (American for Muggle) named Jacob, a misplaced magical case, and the escape of some of Newt's fantastic beasts, which could spell trouble for both the wizarding and No-Maj worlds."", u""The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.""]",http://akas.imdb.com/title/tt3183660/
Moana,"[u""Auli'i Cravalho"", u'Dwayne Johnson', u'Rachel House', u'Temuera Morrison', u'Jemaine Clement']",Ron Clements,"[u'Animation', u'Adventure', u'Comedy', u'Family', u'Fantasy', u'Musical']",[u'English'],"[u'The main character will be Moana Waialiki, a sea voyaging enthusiast, and the only daughter of a chief in a long line of navigators. When her family needs her help, she sets off on an epic journey. The film will also include demi-gods and spirits taken from real mythology.', u'Moana is a daughter of the chief of her tribe, Coming from a long line of navigators she sets off for a fabled island with her hero, the demi God Maui. Along the voyage they battle the treacherous ocean and all which it hides, all the while learning what the power love between friends can accomplish.', u'An adventurous teenager sails out on a daring mission to save her people. During her journey, Moana meets the once-mighty demigod Maui, who guides her in her quest to become a master way-finder. Together they sail across the open ocean on an action-packed voyage, encountering enormous monsters and impossible odds. Along the way, Moana fulfills the ancient quest of her ancestors and discovers the one thing she always sought: her own identity.', u""In Ancient Polynesia, when a terrible curse incurred by Maui reaches an impetuous Chieftain's daughter's island, she answers the Ocean's call to seek out the demigod to set things right.""]",http://akas.imdb.com/title/tt3521164/
Jackie,"[u'Natalie Portman', u'Peter Sarsgaard', u'Greta Gerwig', u'Billy Crudup', u'John Hurt']",Pablo Larraín,"[u'Biography', u'Drama']",[u'English'],"[u'JACKIE is a searing and intimate portrait of one of the most important and tragic moments in American history, seen through the eyes of the iconic First Lady, then Jacqueline Bouvier Kennedy (Natalie Portman). JACKIE places us in her world during the days immediately following her husband\'s assassination. Known for her extraordinary dignity and poise, here we see a psychological portrait of the First Lady as she struggles to maintain her husband\'s legacy and the world of ""Camelot"" that they created and loved so well.', u'Following the assassination of President']",http://akas.imdb.com/title/tt1619029/
La La Land,"[u'Ryan Gosling', u'Emma Stone', u'Ami\xe9e Conn', u'Terry Walters', u'Thom Shelton']",Damien Chazelle,"[u'Comedy', u'Drama', u'Musical', u'Romance']",[u'English'],"[u'Mia, an aspiring actress, serves lattes to movie stars in between auditions and Sebastian, a jazz musician, scrapes by playing cocktail party gigs in dingy bars, but as success mounts they are faced with decisions that begin to fray the fragile fabric of their love affair, and the dreams they worked so hard to maintain in each other threaten to rip them apart.', u'A jazz pianist falls for an aspiring actress in Los Angeles.']",http://akas.imdb.com/title/tt3783958/
Collateral Beauty,"[u'Will Smith', u'Keira Knightley', u'Kate Winslet', u'Naomie Harris', u'Edward Norton']",David Frankel,[u'Drama'],[u'English'],"[u""When a successful New York advertising executive suffers a great tragedy, he retreats from life. While his concerned friends try desperately to reconnect with him, he seeks answers from the universe by writing letters to Love, Time and Death. But it's not until his notes bring unexpected personal responses that he begins to understand how these constants interlock in a life fully lived, and how even the deepest loss can reveal moments of meaning and beauty"", u'Retreating from life after a tragedy, a man questions the universe by writing to Love, Time and Death. Receiving unexpected answers, he begins to see how these things interlock and how even loss can reveal moments of meaning and beauty.']",http://akas.imdb.com/title/tt4682786/
Passengers,"[u'Jennifer Lawrence', u'Chris Pratt', u'Michael Sheen', u'Andy Garcia', u'Laurence Fishburne']",Morten Tyldum,"[u'Adventure', u'Drama', u'Romance', u'Sci-Fi']",[u'English'],"[u'The spaceship, Starship Avalon, in its 120-year voyage to a distant colony planet known as the ""Homestead Colony"" and transporting 5,259 people has a malfunction in two of its sleep chambers. As a result two hibernation pods open prematurely and the two people that awoke, Jim Preston (Chris Pratt) and Aurora Dunn (Jennifer Lawrence), are stranded on the spaceship, still 90 years from their destination.', u'A spacecraft traveling to a distant colony planet and transporting thousands of people has a malfunction in its sleep chambers. As a result, two passengers are awakened 90 years early.']",http://akas.imdb.com/title/tt1355644/
Assassin's Creed,"[u'Marion Cotillard', u'Michael Fassbender', u'Essie Davis', u'Jeremy Irons', u'Brendan Gleeson']",Justin Kurzel,"[u'Action', u'Adventure', u'Fantasy', u'Sci-Fi']","[u'English', u'Spanish']","[u'Through a revolutionary technology that unlocks his genetic memories, Callum Lynch (Michael Fassbender) experiences the adventures of his ancestor, Aguilar, in 15th Century Spain. Callum discovers he is descended from a mysterious secret society, the Assassins, and amasses incredible knowledge and skills to take on the oppressive and powerful Templar organization in the present day.', u'When Callum Lynch explores the memories of his ancestor Aguilar and gains the skills of a Master Assassin, he discovers he is a descendant of the secret Assassins society.']",http://akas.imdb.com/title/tt2094766/
Sing,"[u'Matthew McConaughey', u'Reese Witherspoon', u'Seth MacFarlane', u'Scarlett Johansson', u'John C. Reilly']",Garth Jennings,"[u'Animation', u'Comedy', u'Drama', u'Family', u'Music']",[u'English'],"[u""Set in a world like ours but entirely inhabited by animals, Buster Moon a dapper koala who presides over a once-grand theater that has fallen on hard times. Buster is an eternal-some might even say delusional-optimist who loves his theater above all and will do anything to preserve it. Now faced with the crumbling of his life's ambition, he has one final chance to restore his fading jewel to its former glory by producing the world's greatest singing competition."", u""A koala named Buster Moon has one final chance to restore his theater to its former glory by producing the world's greatest singing competition.""]",http://akas.imdb.com/title/tt3470600/
