Star Wars,11,1977-03-20,9.560723
Star Wars: The Force Awakens,140607,2015-12-15,12.506001
Star Wars: Episode VIII,181808,2017-12-13,3.102488
Star Wars: The Clone Wars,12180,2008-08-05,2.414298
The Empire Strikes Back,1891,1980-01-01,4.968867
Lego Star Wars: The Empire Strikes Out,136406,2012-09-24,1.98256
Star Wars: Episode II - Attack of the Clones,1894,2002-05-15,3.32379
Star Wars: Revelations,80829,2005-04-16,1.57405
Star Wars: Episode IX,181812,2019-05-23,1.548336
Rogue One: A Star Wars Story,330459,2016-12-16,2.773654
Robot Chicken: Star Wars,42979,2007-07-17,1.54108
Star Wars: Episode I - The Phantom Menace,1893,1999-05-19,3.111898
Star Wars: Clone Wars,420803,2003-11-07,1.000425
Star Wars: Greatest Moments,378386,2015-12-26,1.42946
Star Wars: Episode III - Revenge of the Sith,1895,2005-05-17,2.834665
Star Wars: TIE Fighter,332479,2015-03-24,1.286457
Han Solo: A Star Wars Story,348350,2018-05-24,1.146523
The Star Wars Holiday Special,74849,1978-12-01,1.553871
Lego Star Wars: The Padawan Menace,70608,2011-07-22,1.615683
Ken Loach's Star Wars,405572,2015-08-21,1.005293
